Agency,Total spend (approx),DISTRICT_NAME,STATENAME,NATIONAL DATA ID,STREET_ADDRESS,CITY,COMPANY_DOMAIN
"Pullman School District, Washington",NDA,PULLMAN SCHOOL DISTRICT,WASHINGTON,NCES_District-5306930,240 SE DEXTER ST,PULLMAN,http://www.pullmanschools.org
"Putnam County Schools, West Virginia",NDA,PUTNAM COUNTY SCHOOLS,WEST VIRGINIA,NCES_District-5401200,77 COURTHOUSE DRIVE,WINFIELD,
"Stillwater Area Public Schools, Minnesota",NDA,STILLWATER AREA PUBLIC SCHOOLS,MINNESOTA,NCES_District-2738190,1875 GREELEY ST S,STILLWATER,http://www.stillwaterschools.org
"Nassau BOCES, New York",NDA,NASSAU BOCES,NEW YORK,NCES_District-3680540,PO BOX 9195,GARDEN CITY,http://www.nassauboces.org
"Newfane Central School District, New York",NDA,NEWFANE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3620760,6273 CHARLOTTEVILLE RD,NEWFANE,http://www.newfane.wnyric.org
"Brooke County Schools, West Virginia",NDA,BROOKE COUNTY SCHOOLS,WEST VIRGINIA,NCES_District-5400150,1201 PLEASANT AVENUE,WELLSBURG,
"Goodrich Area Schools, Michigan",NDA,GOODRICH AREA SCHOOLS,MICHIGAN,NCES_District-2616320,8029 GALE RD,GOODRICH,http://www.goodrichschools.org
"Jonesville Community Schools, Michigan",NDA,JONESVILLE COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2619920,115 East Street,Jonesville,http://jonesvilleschools.org
"San Marcos CISD, Texas",NDA,SAN MARCOS CISD,TEXAS,NCES_District-4838970,P O BOX 1087,SAN MARCOS,http://www.smcisd.net
"Oregon School District, Wisconsin",NDA,OREGON SCHOOL DISTRICT,WISCONSIN,NCES_District-5511100,123 E Grove St,Oregon,http://www.oregonsd.org
"Lancaster ISD, Texas",NDA,LANCASTER ISD,TEXAS,NCES_District-4826670,422 S CENTRE AVE,LANCASTER,http://www.lancasterisd.org
"Oak Creek-Franklin Joint School District, Wisconsin",NDA,OAK CREEK-FRANKLIN JOINT SCHOOL DISTRICT,WISCONSIN,NCES_District-5510830,7630 S 10th St,Oak Creek,http://www.ocfsd.org
"Okanogan School District, Washington",NDA,OKANOGAN SCHOOL DISTRICT,WASHINGTON,NCES_District-5306150,PO BOX 592,OKANOGAN,http://www.oksd.wednet.edu
"Conroe ISD, Texas",NDA,CONROE ISD,TEXAS,NCES_District-4815000,3205 W DAVIS,CONROE,http://www.conroeisd.net
"Lemmon School District 52-4, South Dakota",NDA,LEMMON SCHOOL DISTRICT 52-4,SOUTH DAKOTA,NCES_District-4641520,314 8th St W,Lemmon,http://www.lemmon.k12.sd.us
"Little Rock School District, Arkansas",NDA,LITTLE ROCK SCHOOL DISTRICT,ARKANSAS,NCES_District-0509000,810 W MARKHAM ST,LITTLE ROCK,http://www.lrsd.org
"Brockport Central School District, New York",NDA,BROCKPORT CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3605580,40 ALLEN ST,BROCKPORT,http://www.bcs1.org
"Hudson School District, Wisconsin",NDA,HUDSON SCHOOL DISTRICT,WISCONSIN,NCES_District-5506690,644 Brakke Dr,Hudson,http://www.hudsonraiders.org
"IDEA Public Schools, Texas",NDA,IDEA PUBLIC SCHOOLS,TEXAS,NCES_District-4800211,2115 W PIKE BLVD,WESLACO,http://www.ideapublicschools.org
"Houston ISD, Texas",NDA,HOUSTON ISD,TEXAS,NCES_District-4823640,4400 W 18TH ST,HOUSTON,http://www.houstonisd.org
"Nash County Public Schools, North Carolina",NDA,NASH COUNTY PUBLIC SCHOOLS,NORTH CAROLINA,NCES_District-3703270,930 Eastern Avenue,Nashville,http://ww.ncpschools.net
"Southgate Community School District, Michigan",NDA,SOUTHGATE COMMUNITY SCHOOL DISTRICT,MICHIGAN,NCES_District-2632340,13940 LEROY ST,SOUTHGATE,
"Randolph County School System, North Carolina",NDA,RANDOLPH COUNTY SCHOOL SYSTEM,NORTH CAROLINA,NCES_District-3703780,2222-C S Fayetteville Street,Asheboro,http://www.randolph.k12.nc.us/
"Irvington Union Free School District, New York",NDA,IRVINGTON UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3615450,40 N BROADWAY,IRVINGTON,http://www.irvingtonschools.org
"Hamilton Central School District, New York",NDA,HAMILTON CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3613380,47 W KENDRICK AVE,HAMILTON,http://www.hamiltoncentral.org
"North Country Supervisory Union, Vermont",NDA,NORTH COUNTRY SUPERVISORY UNION,VERMONT,NCES_District-5099931,121 Duchess Avenue Suite A,Newport,http://www.ncsuvt.org/
"Wheatland-Chili Central School District, New York",NDA,WHEATLAND-CHILI CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3631170,13 BECKWITH AVE,SCOTTSVILLE,http://www.wheatland.k12.ny.us
"Scottsbluff Public Schools, Nebraska",NDA,SCOTTSBLUFF PUBLIC SCHOOLS,NEBRASKA,NCES_District-3176470,1722 1ST AVENUE,SCOTTSBLUFF,
"Acadiana Renaissance Charter Academy, Louisiana",NDA,ACADIANA RENAISSANCE CHARTER ACADEMY,LOUISIANA,NCES_District-2200231,600 Savoy Rd,Youngsville,
"Olympia School District, Washington",NDA,OLYMPIA SCHOOL DISTRICT,WASHINGTON,NCES_District-5306180,111 BETHEL ST. NE,OLYMPIA,http://osd.wednet.edu
"Edgemont Union Free School District, New York",NDA,EDGEMONT UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3610200,300 WHITE OAK LN,SCARSDALE,http://www.edgemont.org
"Bedford Public Schools, Michigan",NDA,BEDFORD PUBLIC SCHOOLS,MICHIGAN,NCES_District-2604470,1135 SMITH RD,TEMPERANCE,http://www.bedford.k12.mi.us
"Middle Country Central School District, New York",NDA,MIDDLE COUNTRY CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3619200,8 43RD ST-ADM OFF,CENTEREACH,http://www.mccsd.net
"Greenwood ISD, Texas",NDA,GREENWOOD ISD,TEXAS,NCES_District-4821750,2700 FM 1379,MIDLAND,http://www.greenwood.esc18.net
"Westside Community Schools, Nebraska",NDA,WESTSIDE COMMUNITY SCHOOLS,NEBRASKA,NCES_District-3178660,909 S 76TH ST,OMAHA,
"Lake Fenton Community Schools, Michigan",NDA,LAKE FENTON COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2620670,11425 TORREY RD,FENTON,http://www.lakefentonschools.org
"College Station ISD, Texas",NDA,COLLEGE STATION ISD,TEXAS,NCES_District-4807350,1812 WELSH AVE,COLLEGE STATION,http://www.csisd.org
"Boulder Valley School District No. Re2, Colorado",NDA,BOULDER VALLEY SCHOOL DISTRICT NO. RE2,COLORADO,NCES_District-0802490,P O BOX 9011,BOULDER,http://www.bvsd.org
"Rye City School District, New York",NDA,RYE CITY SCHOOL DISTRICT,NEW YORK,NCES_District-3625260,555 THEODORE FREMD AVE-ST B-101,RYE,http://www.ryeschools.org
"Frederick County Public Schools, Maryland",NDA,FREDERICK COUNTY PUBLIC SCHOOLS,MARYLAND,NCES_District-2400330,191 South East Street,Frederick,http://www.fcps.org
"Fresno County Office of Education, California",NDA,FRESNO COUNTY OFFICE OF EDUCATION,CALIFORNIA,NCES_District-0691007,1111 Van Ness Ave.,Fresno,http://www.fcoe.org
"Pinelands Regional School District, New Jersey",NDA,PINELANDS REGIONAL SCHOOL DISTRICT,NEW JERSEY,NCES_District-3413000,520 Nugentown Road,Little Egg Harbor,http://www.pinelandsregional.org
"Ballston Spa Central School District, New York",NDA,BALLSTON SPA CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3603930,70 MALTA AVE,BALLSTON SPA,http://www.bscsd.org
"Elgin ISD, Texas",NDA,ELGIN ISD,TEXAS,NCES_District-4818360,P O BOX 351,ELGIN,http://www.elginisd.net
"Stanley-Boyd Area School District, Wisconsin",NDA,STANLEY-BOYD AREA SCHOOL DISTRICT,WISCONSIN,NCES_District-5514430,507 E 1st Ave,Stanley,http://www.stanleyboyd.k12.wi.us
"Roseville Community Schools, Michigan",NDA,ROSEVILLE COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2630210,18975 CHURCH ST,ROSEVILLE,http://www.rcs.misd.net
"Charles County Public Schools, Maryland",NDA,CHARLES COUNTY PUBLIC SCHOOLS,MARYLAND,NCES_District-2400270,P.O. Box 2770,La Plata,http://www.ccboe.com
"Northport-East Northport Union Free School District, New York",NDA,NORTHPORT-EAST NORTHPORT UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3621270,PO BOX 210,NORTHPORT,http://www.northport.k12.ny.us
"Stockbridge Community Schools, Michigan",NDA,STOCKBRIDGE COMMUNITY SCHOOLS,MICHIGAN,NCES_District-2633030,100 Price Ave Ste A,STOCKBRIDGE,http://panthernet.net
"Monroe 2-Orleans BOCES, New York",NDA,MONROE 2-ORLEANS BOCES,NEW YORK,NCES_District-3680520,3599 BIG RIDGE RD,SPENCERPORT,http://www.monroe2boces.org
"Rockport-Fulton ISD, Texas",NDA,ROCKPORT-FULTON ISD,TEXAS,NCES_District-4808550,P O BOX 907,ROCKPORT,http://www.rfisd.us
"Westhill Central School District, New York",NDA,WESTHILL CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3607320,400 WALBERTA RD,SYRACUSE,http://www.westhillschools.org
"Glen Cove City School District, New York",NDA,GLEN COVE CITY SCHOOL DISTRICT,NEW YORK,NCES_District-3612180,150 DOSORIS LN,GLEN COVE,http://www.glencoveschools.org
"Hamburg School District, Arkansas",NDA,HAMBURG SCHOOL DISTRICT,ARKANSAS,NCES_District-0500042,202 E PARKER ST,HAMBURG,http://hsdlions.org
"Uinta County School District #1, Wyoming",NDA,UINTA COUNTY SCHOOL DISTRICT #1,WYOMING,NCES_District-5602760,P.O. Box 6002,Evanston,http://www.uinta1.com
"Scarborough Public Schools, Maine",NDA,SCARBOROUGH PUBLIC SCHOOLS,MAINE,NCES_District-2310530,PO Box 370,Scarborough,http://www.scarboroughschools.org/
"Eastampton Township School District, New Jersey",NDA,EASTAMPTON TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3404350,1 Student Drive,Eastampton,http://www.etsdnj.us
"Converse County School District #1, Wyoming",NDA,CONVERSE COUNTY SCHOOL DISTRICT #1,WYOMING,NCES_District-5602140,615 Hamilton Street,Douglas,http://www.ccsd1.org
"Niagara Falls City School District, New York",NDA,NIAGARA FALLS CITY SCHOOL DISTRICT,NEW YORK,NCES_District-3620820,630 66TH ST,NIAGARA FALLS,http://www.nfschools.net
"Cabell County Schools, West Virginia",NDA,CABELL COUNTY SCHOOLS,WEST VIRGINIA,NCES_District-5400180,2850 5TH AVE,HUNTINGTON,
"Kenmore-Tonawanda Union Free School District, New York",NDA,KENMORE-TONAWANDA UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3616230,1500 COLVIN BLVD,BUFFALO,http://www.ktufsd.org
"Sun Prairie Area School District, Wisconsin",NDA,SUN PRAIRIE AREA SCHOOL DISTRICT,WISCONSIN,NCES_District-5514640,501 S Bird St,Sun Prairie,http://www.sunprairieschools.org
"Waunakee Community School District, Wisconsin",NDA,WAUNAKEE COMMUNITY SCHOOL DISTRICT,WISCONSIN,NCES_District-5515810,Administration and Maintenance,Waunakee,http://www.waunakee.k12.wi.us
"Norfolk City Public Schools, Virginia",NDA,NORFOLK CITY PUBLIC SCHOOLS,VIRGINIA,NCES_District-5102670,PO Box 1357,Norfolk,http://www.nps.k12.va.us
"Saline Area Schools, Michigan",NDA,SALINE AREA SCHOOLS,MICHIGAN,NCES_District-2630660,7265 N ANN ARBOR ST,SALINE,http://www.salineschools.org
"Shelby Eastern Schools, Indiana",NDA,SHELBY EASTERN SCHOOLS,INDIANA,NCES_District-1803210,2451 N 600 E,Shelbyville,http://www.ses.k12.in.us
"East Gibson School Corporation, Indiana",NDA,EAST GIBSON SCHOOL CORPORATION,INDIANA,NCES_District-1802940,941 S. Franklin St.,Oakland City,http://www.egsc.k12.in.us/
"Sweet Home Central School District, New York",NDA,SWEET HOME CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3628500,1901 SWEET HOME RD,AMHERST,http://www.sweethomeschools.org
"West Bloomfield School District, Michigan",NDA,WEST BLOOMFIELD SCHOOL DISTRICT,MICHIGAN,NCES_District-2635820,5810 COMMERCE RD,WEST BLOOMFIELD,
"Neenah Joint School District, Wisconsin",NDA,NEENAH JOINT SCHOOL DISTRICT,WISCONSIN,NCES_District-5510320,410 S Commercial St,Neenah,http://www.neenah.k12.wi.us
"Crandon School District, Wisconsin",NDA,CRANDON SCHOOL DISTRICT,WISCONSIN,NCES_District-5502910,9750 US Highway 8 W,Crandon,http://www.sdofcrandon.com
"Lake Travis ISD, Texas",NDA,LAKE TRAVIS ISD,TEXAS,NCES_District-4826470,3322 RANCH RD 620 S,AUSTIN,http://www.ltisdschools.org
"San Diego County Office of Education, California",NDA,SAN DIEGO COUNTY OFFICE OF EDUCATION,CALIFORNIA,NCES_District-0691030,6401 Linda Vista Rd.,San Diego,http://www.sdcoe.net
"Hamilton Southeastern Schools, Indiana",NDA,HAMILTON SOUTHEASTERN SCHOOLS,INDIANA,NCES_District-1810650,13485 Cumberland Rd,Fishers,http://www.hseschools.org/
"El Dorado School District, Arkansas",NDA,EL DORADO SCHOOL DISTRICT,ARKANSAS,NCES_District-0505680,200 W OAK ST,EL DORADO,http://www.eldoradopublicschools.com
"Hudson City School District, New York",NDA,HUDSON CITY SCHOOL DISTRICT,NEW YORK,NCES_District-3614940,215 HARRY HOWARD AVE,HUDSON,http://www.hudsoncsd.org
"Downsville Central School District, New York",NDA,DOWNSVILLE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3609240,PO BOX J,DOWNSVILLE,http://www.dcseagles.org
"Killeen ISD, Texas",NDA,KILLEEN ISD,TEXAS,NCES_District-4825660,P O BOX 967,KILLEEN,http://www.killeenisd.org
"Randolph Township School District, New Jersey",NDA,RANDOLPH TOWNSHIP SCHOOL DISTRICT,NEW JERSEY,NCES_District-3413650,25 School House Road,Randolph,http://www.rtnj.org
"West Windsor-Plainsboro Regional School District, New Jersey",NDA,WEST WINDSOR-PLAINSBORO REGIONAL SCHOOL DISTRICT,NEW JERSEY,NCES_District-3417700,321 Village Rd East,West Windsor,http://www.ww-p.org/
"Watauga County Schools, North Carolina",NDA,WATAUGA COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3704830,175 Pioneer Trail,Boone,http://www.wataugaschools.org
"West De Pere School District, Wisconsin",NDA,WEST DE PERE SCHOOL DISTRICT,WISCONSIN,NCES_District-5516320,400 Reid St Ste W,De Pere,http://www.wdpsd.com
"Washougal School District, Washington",NDA,WASHOUGAL SCHOOL DISTRICT,WASHINGTON,NCES_District-5309540,4855 Evergreen Way,WASHOUGAL,http://www.washougal.k12.wa.us
"Roanoke City Public Schools, Virginia",NDA,ROANOKE CITY PUBLIC SCHOOLS,VIRGINIA,NCES_District-5103300,P O Box 13145,Roanoke,http://www.rcps.info
"Mayfield Central School District, New York",NDA,MAYFIELD CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3618750,27 SCHOOL ST,MAYFIELD,http://www.mayfieldk12.com
"Schuylerville Central School District, New York",NDA,SCHUYLERVILLE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3626160,14 SPRING ST,SCHUYLERVILLE,http://www.schuylervilleschools.org
"Marcellus Central School District, New York",NDA,MARCELLUS CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3618480,2 REED PKWY,MARCELLUS,http://www.marcellusschools.org
"Reedsburg School District, Wisconsin",NDA,REEDSBURG SCHOOL DISTRICT,WISCONSIN,NCES_District-5512660,501 K St,Reedsburg,http://www.rsd.k12.wi.us
"Clarence Central School District, New York",NDA,CLARENCE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3607590,9625 MAIN ST,CLARENCE,http://www.clarenceschools.org
"Horseheads Central School District, New York",NDA,HORSEHEADS CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3614850,143 HIBBARD RD,HORSEHEADS,http://www.horseheadsdistrict.com
"Seaford Union Free School District, New York",NDA,SEAFORD UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3626400,1600 WASHINGTON AVE,SEAFORD,http://www.seaford.k12.ny.us
"Hartford School District, Vermont",NDA,HARTFORD SCHOOL DISTRICT,VERMONT,NCES_District-5004590,1 Gifford Road,White River Junction,http://hsdvt.com/
"Greece Central School District, New York",NDA,GREECE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3612630,750 MAIDEN LN,ROCHESTER,http://www.greececsd.org
"Mount Morris Central School District, New York",NDA,MOUNT MORRIS CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3620010,30 BONADONNA AVE,MOUNT MORRIS,http://www.mtmorriscsd.org
"Bellingham School District, Washington",NDA,BELLINGHAM SCHOOL DISTRICT,WASHINGTON,NCES_District-5300420,1306 DUPONT ST,BELLINGHAM,http://bellinghamschools.org
"Jackson County Schools, West Virginia",NDA,JACKSON COUNTY SCHOOLS,WEST VIRGINIA,NCES_District-5400540,P O BOX 770,RIPLEY,
"Clearbrook-Gonvick School District, Minnesota",NDA,CLEARBROOK-GONVICK SCHOOL DISTRICT,MINNESOTA,NCES_District-2700103,16770 CLEARWATER LAKE RD,CLEARBROOK,http://www.clearbrook-gonvick.k12.mn.us/
"Ridgefield School District, Washington",NDA,RIDGEFIELD SCHOOL DISTRICT,WASHINGTON,NCES_District-5307350,510 PIONEER STREET,RIDGEFIELD,http://www.ridgefieldsd.org
"Manassas City Public Schools, Virginia",NDA,MANASSAS CITY PUBLIC SCHOOLS,VIRGINIA,NCES_District-5102360,P.O. Box 520,Manassas,http://www.mcpsva.org
"Mukilteo School District, Washington",NDA,MUKILTEO SCHOOL DISTRICT,WASHINGTON,NCES_District-5305430,9401 SHARON DR,EVERETT,http://www.mukilteoschools.org
"Berks Career and Technology Center, Pennsylvania",NDA,BERKS CAREER AND TECHNOLOGY CENTER,PENNSYLVANIA,NCES_District-4280060,1057 County Welfare Road,Leesport,http://www.berkscareer.com
"Pender County Schools, North Carolina",NDA,PENDER COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3703570,925 Penderlea Hwy,Burgaw,http://www.pendercountyschools.net
"Duplin County Schools, North Carolina",NDA,DUPLIN COUNTY SCHOOLS,NORTH CAROLINA,NCES_District-3701200,PO Box 128,Kenansville,http://www.duplinschools.net
"East Central ISD, Texas",NDA,EAST CENTRAL ISD,TEXAS,NCES_District-4817850,6634 NEW SULPHUR SPRINGS RD,SAN ANTONIO,http://www.ecisd.net
"Port Washington Union Free School District, New York",NDA,PORT WASHINGTON UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3623580,100 CAMPUS DR,PORT WASHINGTON,http://www.portnet.org
"Lower Yukon School District, Alaska",NDA,LOWER YUKON SCHOOL DISTRICT,ALASKA,NCES_District-0200003,PO Box 32089,Mountain Village,http://www.lysd.org/
"Union City School District, New Jersey",NDA,UNION CITY SCHOOL DISTRICT,NEW JERSEY,NCES_District-3416380,3912 Bergen Turnpike,Union City,http://www.ucboe.us
"Avoca Central School District, New York",NDA,AVOCA CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3603630,PO BOX G,AVOCA,http://www.avocacsd.org
"Richfield Springs Central School District, New York",NDA,RICHFIELD SPRINGS CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3624570,PO BOX 631,RICHFIELD SPRINGS,http://www.richfieldcsd.org
"Manton Consolidated Schools, Michigan",NDA,MANTON CONSOLIDATED SCHOOLS,MICHIGAN,NCES_District-2622500,105 5TH ST,MANTON,http://www.mantonschools.org
"Goshen Central School District, New York",NDA,GOSHEN CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3612330,227 MAIN ST,GOSHEN,http://www.goshenschoolsny.org
"Stoughton Area School District, Wisconsin",NDA,STOUGHTON AREA SCHOOL DISTRICT,WISCONSIN,NCES_District-5514550,320 North St,Stoughton,http://www.stoughton.k12.wi.us
"Albion Central School District, New York",NDA,ALBION CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3602520,324 EAST AVE,ALBION,http://www.albionk12.org
"Queensbury Union Free School District, New York",NDA,QUEENSBURY UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3624030,429 AVIATION RD,QUEENSBURY,http://www.queensburyschool.org
"Fraser Public Schools, Michigan",NDA,FRASER PUBLIC SCHOOLS,MICHIGAN,NCES_District-2614820,33466 GARFIELD RD,FRASER,http://www.fraser.k12.mi.us/fps
"Central Islip Union Free School District, New York",NDA,CENTRAL ISLIP UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3606870,PO BOX 9027,CENTRAL ISLIP,http://www.centralislip.k12.ny.us
"Louisville Public Schools, Nebraska",NDA,LOUISVILLE PUBLIC SCHOOLS,NEBRASKA,NCES_District-3173050,202 W 3RD,LOUISVILLE,
"Duanesburg Central School District, New York",NDA,DUANESBURG CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3609360,133 SCHOOL DR,DELANSON,http://www.duanesburg.org
"East Islip Union Free School District, New York",NDA,EAST ISLIP UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3609720,1 C B GARIEPY AVE,ISLIP TERRACE,http://www.eischools.org
"Franklin Public Schools, Nebraska",NDA,FRANKLIN PUBLIC SCHOOLS,NEBRASKA,NCES_District-3100065,1001 M ST,FRANKLIN,
"Whitefish Bay School District, Wisconsin",NDA,WHITEFISH BAY SCHOOL DISTRICT,WISCONSIN,NCES_District-5516620,1200 E Fairmount Ave,Whitefish Bay,http://www.wfbschools.com
"Soap Lake School District, Washington",NDA,SOAP LAKE SCHOOL DISTRICT,WASHINGTON,NCES_District-5308070,410 GINKGO ST S,SOAP LAKE,http://www.slschools.org
"Union County Public Schools, North Carolina",NDA,UNION COUNTY PUBLIC SCHOOLS,NORTH CAROLINA,NCES_District-3704620,307 E. Jefferson Street,Monroe,http://www.ucps.k12.nc.us
"Robinson ISD, Texas",NDA,ROBINSON ISD,TEXAS,NCES_District-4837410,500 W LYNDALE,ROBINSON,http://www.risdweb.org
"Redfield School District 56-4, South Dakota",NDA,REDFIELD SCHOOL DISTRICT 56-4,SOUTH DAKOTA,NCES_District-4660450,PO Box 560,Redfield,http://www.redfield.k12.sd.us
"Hilton Central School District, New York",NDA,HILTON CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3614460,225 WEST AVE,HILTON,http://www.hilton.k12.ny.us
"Chapel Hill-Carrboro City Schools, North Carolina",NDA,CHAPEL HILL-CARRBORO CITY SCHOOLS,NORTH CAROLINA,NCES_District-3700720,750 S Merritt Mill Rd,Chapel Hill,http://www.chccs.k12.nc.us/
"Calhoun County Schools, West Virginia",NDA,CALHOUN COUNTY SCHOOLS,WEST VIRGINIA,NCES_District-5400210,540 ALAN B MOLLOHAN DRIVE,MT. ZION,
"South Orangetown Central School District, New York",NDA,SOUTH ORANGETOWN CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3627450,160 VAN WYCK RD,BLAUVELT,http://www.socsd.org
"Sherman ISD, Texas",NDA,SHERMAN ISD,TEXAS,NCES_District-4840080,P O BOX 1176,SHERMAN,http://www.shermanisd.net/
"Chenango Forks Central School District, New York",NDA,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3607260,1 GORDON DR,BINGHAMTON,http://www.cforks.org
"Morris Hills Regional School District, New Jersey",NDA,MORRIS HILLS REGIONAL SCHOOL DISTRICT,NEW JERSEY,NCES_District-3410740,48 Knoll Drive,Denville,http://www.mhrd.org
"San Angelo ISD, Texas",NDA,SAN ANGELO ISD,TEXAS,NCES_District-4838700,1621 UNIVERSITY AVE,SAN ANGELO,http://www.saisd.org/
"Bay-Arenac ISD, Michigan",NDA,BAY-ARENAC ISD,MICHIGAN,NCES_District-2680504,4228 2 MILE RD,BAY CITY,http://www.baisd.net
"Herricks Union Free School District, New York",NDA,HERRICKS UNION FREE SCHOOL DISTRICT,NEW YORK,NCES_District-3614280,999 HERRICKS RD,NEW HYDE PARK,http://www.herricks.org
"Elkhorn Valley Schools, Nebraska",NDA,ELKHORN VALLEY SCHOOLS,NEBRASKA,NCES_District-3100025,601 S MADISON STREET,TILDEN,
"White Salmon Valley School District, Washington",NDA,WHITE SALMON VALLEY SCHOOL DISTRICT,WASHINGTON,NCES_District-5309810,PO BOX 157,WHITE SALMON,
"Forestville Central School District, New York",NDA,FORESTVILLE CENTRAL SCHOOL DISTRICT,NEW YORK,NCES_District-3611250,12 WATER ST,FORESTVILLE,http://www.forestville.com
